season,ID
2008/2009,2415
2008/2009,2420
2008/2009,3413
2008/2009,3419
2008/2009,3450
2008/2009,3448
2008/2009,6029
2008/2009,6025
2008/2009,6182
2008/2009,6472
2008/2009,6470
2008/2009,456
2008/2009,8515
2008/2009,9641
2008/2009,9636
2008/2009,10203
2008/2009,10206
2008/2009,12532
2008/2009,12900
2008/2009,12904
2009/2010,14226
2009/2010,14224
2009/2010,15977
2009/2010,15986
2009/2010,17157
2009/2010,17158
2009/2010,18371
2009/2010,18389
2009/2010,19348
2009/2010,19350
2009/2010,21084
2009/2010,21821
2009/2010,21824
2009/2010,23281
2009/2010,23278
2009/2010,24752
2009/2010,24754
2009/2010,25954
2009/2010,25950
2009/2010,27336
2010/2011,29252
2010/2011,29250
2010/2011,30521
2010/2011,30518
2010/2011,31231
2010/2011,31228
2010/2011,32999
2010/2011,32921
2010/2011,34411
2010/2011,35918
2010/2011,35915
2010/2011,38225
2010/2011,38223
2010/2011,28904
2010/2011,29832
2010/2011,40660
2010/2011,41547
2010/2011,43569
2011/2012,46482
2011/2012,48470
2011/2012,48466
2011/2012,50281
2011/2012,50278
2011/2012,52514
2011/2012,52510
2011/2012,53206
2011/2012,53208
2011/2012,55810
2011/2012,56545
2011/2012,56541
2011/2012,58485
2011/2012,58483
2011/2012,59987
2011/2012,59990
2011/2012,61490
2011/2012,61483
2012/2013,64575
2012/2013,64573
2012/2013,66191
2012/2013,66193
2012/2013,67676
2012/2013,67674
2012/2013,69444
2012/2013,69442
2012/2013,69398
2012/2013,69401
2012/2013,72096
2012/2013,73820
2012/2013,73818
2012/2013,76508
2012/2013,76505
2012/2013,77841
2012/2013,77839
2012/2013,79499
2012/2013,79497
2012/2013,80013
2013/2014,83399
2013/2014,83412
2013/2014,84452
2013/2014,84460
2013/2014,87600
2013/2014,87604
2013/2014,88227
2013/2014,88234
2013/2014,91900
2013/2014,91905
2013/2014,95454
2013/2014,95459
2013/2014,95507
2013/2014,95526
2013/2014,98491
2013/2014,98495
2013/2014,101360
2013/2014,101363
2013/2014,102043
2013/2014,102037
2014/2015,106305
2014/2015,106307
2014/2015,107925
2014/2015,107938
2014/2015,109356
2014/2015,109353
2014/2015,111025
2014/2015,111027
2014/2015,113887
2014/2015,113892
2014/2015,115955
2014/2015,116088
2014/2015,119728
2014/2015,119733
2014/2015,120429
2014/2015,120431
2014/2015,125857
2014/2015,125859
2014/2015,127351
2014/2015,127354
2015/2016,130050
2015/2016,130052
2015/2016,132892
2015/2016,132901
2015/2016,134348
2015/2016,134351
2015/2016,137002
2015/2016,137005
2015/2016,144401
2015/2016,144406
2015/2016,145415
2015/2016,145420
2015/2016,150361
2015/2016,150367
2015/2016,151930
2015/2016,151965
2015/2016,154870
2015/2016,154873
2016/2017,158141
2016/2017,158158
2016/2017,160699
2016/2017,160702
2016/2017,165178
2016/2017,165181
2016/2017,167705
2016/2017,167707
2016/2017,170887
2016/2017,170890
2016/2017,173014
2016/2017,173022
2016/2017,177660
2016/2017,177076
2016/2017,178883
2016/2017,178896
2016/2017,181137
2016/2017,181141
2016/2017,184420
2016/2017,184422
2017/2018,188166
2017/2018,188172
2017/2018,189796
2017/2018,189799
2017/2018,190317
2017/2018,190321
2017/2018,196450
2017/2018,196944
2017/2018,198727
2017/2018,198731
2017/2018,202148
2017/2018,202161
2017/2018,207535
2017/2018,207533
2017/2018,213224
2017/2018,213222
2017/2018,215894
2017/2018,215892
2017/2018,217370
2017/2018,217372
2018/2019,222022
2018/2019,222084
2018/2019,225350
2018/2019,225349
2018/2019,229025
2018/2019,229022
2018/2019,229429
2018/2019,232669
2018/2019,235066
2018/2019,235062
2018/2019,237796
2018/2019,237794
2018/2019,241681
2018/2019,241679
2018/2019,244656
2018/2019,244654
2018/2019,247475
2018/2019,247472
2018/2019,233120
2018/2019,250976
2019/2020,255307
2019/2020,257489
2019/2020,257484
2019/2020,260191
2019/2020,260187
2019/2020,263242
2019/2020,263237
2019/2020,266162
2019/2020,266158
2019/2020,271020
2019/2020,278201
2019/2020,278200
2020/2021,284054
2020/2021,284058
2020/2021,287591
2020/2021,287905
